[15:3:35:233] 70
[15:3:35:242] 9
[15:3:35:251] 8
[15:3:35:262] 10
[15:3:35:270] 8
[15:3:35:279] 8
[15:3:35:289] 9
[15:3:35:297] 8
[15:3:35:306] 8
[15:3:35:316] 8
[15:3:35:508] 15
[15:3:35:518] 9
[15:3:35:526] 8
[15:3:35:534] 7
[15:3:35:543] 8
[15:3:35:553] 9
[15:3:35:563] 9
[15:3:35:571] 8
[15:3:35:580] 8
[15:3:35:590] 10
[15:3:35:764] 16
[15:3:35:773] 9
[15:3:35:782] 8
[15:3:35:794] 12
[15:3:35:807] 13
[15:3:35:815] 7
[15:3:35:825] 9
[15:3:35:835] 10
[15:3:35:843] 7
[15:3:35:852] 8
[15:3:36:22] 16
[15:3:36:31] 8
[15:3:36:41] 9
[15:3:36:49] 8
[15:3:36:57] 8
[15:3:36:66] 9
[15:3:36:75] 9
[15:3:36:84] 8
[15:3:36:98] 14
[15:3:36:108] 9
[15:3:36:277] 14
[15:3:36:288] 10
[15:3:36:296] 8
[15:3:36:306] 10
[15:3:36:316] 10
[15:3:36:324] 7
[15:3:36:335] 10
[15:3:36:343] 7
[15:3:36:357] 13
[15:3:36:369] 12
[15:3:36:545] 15
[15:3:36:553] 7
[15:3:36:562] 8
[15:3:36:571] 8
[15:3:36:579] 8
[15:3:36:587] 8
[15:3:36:600] 12
[15:3:36:609] 8
[15:3:36:621] 11
[15:3:36:632] 10
[15:3:36:801] 15
[15:3:36:811] 10
[15:3:36:820] 8
[15:3:36:829] 9
[15:3:36:838] 8
[15:3:36:846] 7
[15:3:36:855] 8
[15:3:36:865] 9
[15:3:36:874] 9
[15:3:36:883] 8
[15:3:37:79] 15
[15:3:37:89] 10
[15:3:37:98] 9
[15:3:37:106] 8
[15:3:37:116] 9
[15:3:37:125] 9
[15:3:37:133] 7
[15:3:37:142] 8
[15:3:37:151] 8
[15:3:37:160] 8
[15:3:37:333] 14
[15:3:37:342] 8
[15:3:37:350] 7
[15:3:37:359] 8
[15:3:37:369] 10
[15:3:37:378] 8
[15:3:37:387] 8
[15:3:37:395] 8
[15:3:37:404] 8
[15:3:37:412] 7
[15:3:37:602] 14
[15:3:37:611] 9
[15:3:37:619] 7
[15:3:37:628] 8
[15:3:37:637] 8
[15:3:37:646] 8
[15:3:37:654] 8
[15:3:37:663] 8
[15:3:37:672] 8
[15:3:37:681] 8
[15:3:37:846] 13
[15:3:37:855] 8
[15:3:37:863] 7
[15:3:37:872] 8
[15:3:37:881] 8
[15:3:37:890] 8
[15:3:37:898] 8
[15:3:37:907] 8
[15:3:37:916] 8
[15:3:37:926] 9
[15:3:38:103] 14
[15:3:38:112] 8
[15:3:38:122] 9
[15:3:38:130] 8
[15:3:38:138] 7
[15:3:38:147] 8
[15:3:38:156] 8
[15:3:38:164] 7
[15:3:38:177] 12
[15:3:38:185] 8
[15:3:38:358] 14
[15:3:38:366] 7
[15:3:38:374] 7
[15:3:38:383] 8
[15:3:38:391] 7
[15:3:38:401] 9
[15:3:38:411] 9
[15:3:38:419] 8
[15:3:38:428] 8
[15:3:38:437] 8
[15:3:38:625] 14
[15:3:38:635] 9
[15:3:38:644] 8
[15:3:38:654] 10
[15:3:38:663] 9
[15:3:38:672] 8
[15:3:38:680] 8
[15:3:38:690] 9
[15:3:38:700] 9
[15:3:38:708] 8
[15:3:38:896] 14
[15:3:38:906] 9
[15:3:38:914] 8
[15:3:38:922] 7
