[15:2:48:229] 14
[15:2:48:237] 7
[15:2:48:247] 10
[15:2:48:256] 8
[15:2:48:263] 7
[15:2:48:271] 7
[15:2:48:279] 7
[15:2:48:289] 9
[15:2:48:297] 8
[15:2:48:306] 9
[15:2:48:441] 14
[15:2:48:451] 9
[15:2:48:459] 8
[15:2:48:467] 7
[15:2:48:476] 8
[15:2:48:486] 10
[15:2:48:495] 8
[15:2:48:503] 8
[15:2:48:512] 8
[15:2:48:521] 8
[15:2:48:656] 15
[15:2:48:665] 9
[15:2:48:674] 8
[15:2:48:683] 8
[15:2:48:693] 10
[15:2:48:702] 9
[15:2:48:710] 8
[15:2:48:719] 8
[15:2:48:728] 8
[15:2:48:737] 8
[15:2:48:872] 15
[15:2:48:882] 10
[15:2:48:890] 8
[15:2:48:899] 8
[15:2:48:909] 9
[15:2:48:918] 8
[15:2:48:927] 8
[15:2:48:937] 10
[15:2:48:946] 8
[15:2:48:954] 8
[15:2:49:89] 15
[15:2:49:98] 9
[15:2:49:106] 7
[15:2:49:115] 8
[15:2:49:124] 8
[15:2:49:133] 8
[15:2:49:141] 8
[15:2:49:151] 9
[15:2:49:160] 8
[15:2:49:169] 8
[15:2:49:304] 15
[15:2:49:313] 9
[15:2:49:322] 9
[15:2:49:330] 8
[15:2:49:338] 8
[15:2:49:347] 8
[15:2:49:356] 8
[15:2:49:365] 8
[15:2:49:374] 8
[15:2:49:383] 8
[15:2:49:517] 14
[15:2:49:525] 7
[15:2:49:534] 8
[15:2:49:543] 8
[15:2:49:552] 8
[15:2:49:560] 8
[15:2:49:570] 9
[15:2:49:580] 9
[15:2:49:588] 8
[15:2:49:597] 8
[15:2:49:732] 14
[15:2:49:741] 8
[15:2:49:750] 8
[15:2:49:759] 8
[15:2:49:767] 7
[15:2:49:776] 8
[15:2:49:785] 8
[15:2:49:794] 9
[15:2:49:803] 8
[15:2:49:811] 8
[15:2:49:948] 15
[15:2:49:957] 9
[15:2:49:965] 7
[15:2:49:974] 8
[15:2:49:983] 8
[15:2:49:992] 8
[15:2:50:1] 8
[15:2:50:11] 10
[15:2:50:24] 13
[15:2:50:33] 8
[15:2:50:164] 14
[15:2:50:173] 8
[15:2:50:181] 7
[15:2:50:190] 8
[15:2:50:199] 8
[15:2:50:208] 8
[15:2:50:217] 8
[15:2:50:226] 9
[15:2:50:236] 9
[15:2:50:244] 7
[15:2:50:379] 15
[15:2:50:389] 9
[15:2:50:399] 9
[15:2:50:408] 8
[15:2:50:417] 8
[15:2:50:426] 8
[15:2:50:435] 8
[15:2:50:444] 8
[15:2:50:453] 9
[15:2:50:462] 9
[15:2:50:598] 15
[15:2:50:607] 9
[15:2:50:616] 8
[15:2:50:627] 10
[15:2:50:636] 9
[15:2:50:645] 9
[15:2:50:654] 9
[15:2:50:663] 8
[15:2:50:672] 8
[15:2:50:680] 8
[15:2:50:816] 15
[15:2:50:825] 9
[15:2:50:833] 7
[15:2:50:842] 9
[15:2:50:851] 9
[15:2:50:859] 8
[15:2:50:868] 8
[15:2:50:878] 9
[15:2:50:888] 10
[15:2:50:897] 8
[15:2:51:32] 15
[15:2:51:42] 10
[15:2:51:51] 9
[15:2:51:60] 8
[15:2:51:69] 8
[15:2:51:78] 8
[15:2:51:88] 9
[15:2:51:99] 10
[15:2:51:107] 7
[15:2:51:116] 8
[15:2:51:252] 15
[15:2:51:261] 9
[15:2:51:269] 8
[15:2:51:278] 9
[15:2:51:288] 9
[15:2:51:296] 8
[15:2:51:305] 9
[15:2:51:315] 9
[15:2:51:325] 10
[15:2:51:333] 8
[15:2:51:468] 14
[15:2:51:477] 8
[15:2:51:486] 9
[15:2:51:494] 8
[15:2:51:502] 7
[15:2:51:511] 8
[15:2:51:521] 9
[15:2:51:532] 10
[15:2:51:541] 9
[15:2:51:550] 9
[15:2:51:686] 15
[15:2:51:696] 10
[15:2:51:705] 8
[15:2:51:714] 9
[15:2:51:723] 8
[15:2:51:732] 8
[15:2:51:741] 8
[15:2:51:751] 10
[15:2:51:760] 9
[15:2:51:769] 8
[15:2:51:938] 13
[15:2:51:947] 8
[15:2:51:955] 8
[15:2:51:963] 7
[15:2:51:973] 9
[15:2:51:981] 8
[15:2:51:989] 8
[15:2:51:998] 9
[15:2:52:6] 7
[15:2:52:14] 8
[15:2:52:149] 14
[15:2:52:159] 9
[15:2:52:167] 7
[15:2:52:176] 8
[15:2:52:186] 9
[15:2:52:194] 8
[15:2:52:204] 9
[15:2:52:214] 9
[15:2:52:222] 8
[15:2:52:232] 9
[15:2:52:367] 14
[15:2:52:376] 8
[15:2:52:386] 9
[15:2:52:398] 11
[15:2:52:409] 11
[15:2:52:417] 8
[15:2:52:425] 8
[15:2:52:433] 8
[15:2:52:442] 8
[15:2:52:450] 8
[15:2:52:589] 17
[15:2:52:603] 13
[15:2:52:613] 10
[15:2:52:624] 10
[15:2:52:639] 14
[15:2:52:703] 63
[15:2:52:724] 21
[15:2:52:736] 11
[15:2:52:750] 13
[15:2:52:767] 17
[15:2:52:921] 27
[15:2:52:941] 20
[15:2:52:961] 19
[15:2:52:980] 19
[15:2:52:998] 18
[15:2:53:17] 18
[15:2:53:37] 19
[15:2:53:55] 18
[15:2:53:73] 18
[15:2:53:92] 18
[15:2:53:334] 115
[15:2:53:343] 9
[15:2:53:374] 31
[15:2:53:390] 16
[15:2:53:415] 24
[15:2:53:450] 34
[15:2:53:462] 11
[15:2:53:481] 18
[15:2:53:500] 18
[15:2:53:523] 23
[15:2:53:684] 30
[15:2:53:712] 28
[15:2:53:734] 21
[15:2:53:749] 15
[15:2:53:765] 15
[15:2:53:782] 17
[15:2:53:806] 23
[15:2:53:837] 30
[15:2:53:858] 21
[15:2:53:877] 18
[15:2:54:23] 18
[15:2:54:33] 9
[15:2:54:44] 10
[15:2:54:58] 13
[15:2:54:72] 14
[15:2:54:94] 22
[15:2:54:119] 25
[15:2:54:139] 19
[15:2:54:154] 15
[15:2:54:175] 21
[15:2:54:359] 61
[15:2:54:384] 24
[15:2:54:411] 27
[15:2:54:435] 23
[15:2:54:463] 28
[15:2:54:483] 19
[15:2:54:509] 25
[15:2:54:527] 18
[15:2:54:546] 18
[15:2:54:574] 28
[15:2:54:726] 26
[15:2:54:744] 18
[15:2:54:763] 18
[15:2:54:781] 18
[15:2:54:799] 18
[15:2:54:818] 18
[15:2:54:836] 18
[15:2:54:854] 18
[15:2:54:890] 35
[15:2:54:909] 18
[15:2:55:60] 25
[15:2:55:80] 19
[15:2:55:98] 18
[15:2:55:116] 17
[15:2:55:135] 18
[15:2:55:153] 18
[15:2:55:169] 16
[15:2:55:179] 9
[15:2:55:195] 16
[15:2:55:214] 18
[15:2:55:355] 14
[15:2:55:367] 11
[15:2:55:377] 10
[15:2:55:388] 10
[15:2:55:399] 11
[15:2:55:411] 12
[15:2:55:421] 10
[15:2:55:432] 10
[15:2:55:442] 10
[15:2:55:453] 10
