[12:17:32:354] 1575
[12:17:33:920] 1447
[12:17:35:495] 1456
[12:17:37:60] 1445
[12:17:38:675] 1495
[12:17:40:244] 1450
[12:17:41:849] 1484
[12:17:43:735] 1766
[12:17:45:459] 1608
[12:17:47:28] 1450
[12:17:48:722] 1571
[12:17:50:301] 1459
[12:17:52:248] 1829
[12:17:53:968] 1600
[12:17:55:617] 1531
[12:17:57:188] 1453
[12:17:59:145] 1838
[12:18:0:717] 1454
[12:18:2:299] 1463
[12:18:3:864] 1446
[12:18:5:435] 1451
[12:18:7:341] 1786
[12:18:9:137] 1668
[12:18:10:731] 1474
[12:18:12:314] 1463
[12:18:13:884] 1451
[12:18:15:450] 1447
[12:18:17:24] 1455
[12:18:18:592] 1451
[12:18:20:159] 1450
[12:18:21:722] 1444
[12:18:23:287] 1446
[12:18:24:846] 1441
[12:18:26:408] 1443
[12:18:27:973] 1445
[12:18:29:544] 1450
[12:18:31:105] 1442
[12:18:32:671] 1446
[12:18:34:239] 1449
[12:18:35:808] 1450
[12:18:37:395] 1465
[12:18:38:956] 1442
[12:18:40:561] 1486
[12:18:42:124] 1444
[12:18:43:695] 1449
[12:18:45:267] 1453
[12:18:46:874] 1487
[12:18:48:740] 1745
[12:18:50:329] 1467
[12:18:51:946] 1494
[12:18:53:663] 1597
[12:18:55:290] 1506
[12:18:56:922] 1512
[12:18:58:560] 1519
[12:19:0:259] 1581
[12:19:1:960] 1584
[12:19:3:590] 1513
[12:19:5:213] 1506
[12:19:6:834] 1501
[12:19:8:496] 1542
[12:19:10:253] 1640
[12:19:11:999] 1611
[12:19:13:731] 1614
[12:19:15:317] 1468
[12:19:16:924] 1489
[12:19:18:554] 1512
[12:19:20:147] 1466
[12:19:22:185] 1915
[12:19:23:751] 1448
[12:19:25:327] 1458
[12:19:26:923] 1476
[12:19:28:607] 1568
[12:19:30:181] 1456
[12:19:31:758] 1454
[12:19:33:331] 1457
[12:19:34:907] 1459
[12:19:36:582] 1557
[12:19:38:283] 1579
[12:19:39:884] 1483
[12:19:41:459] 1457
[12:19:43:59] 1484
[12:19:44:670] 1494
[12:19:46:761] 1973
[12:19:48:363] 1486
[12:19:49:945] 1463
[12:19:51:534] 1472
[12:19:53:253] 1600
[12:19:54:844] 1474
[12:19:56:445] 1482
[12:19:58:24] 1459
[12:19:59:597] 1454
[12:20:1:169] 1453
[12:20:2:742] 1457
[12:20:4:362] 1500
[12:20:6:128] 1639
[12:20:7:706] 1455
[12:20:9:264] 1439
[12:20:10:897] 1516
[12:20:12:611] 1598
[12:20:14:261] 1533
[12:20:15:832] 1453
[12:20:17:404] 1456
[12:20:19:49] 1528
[12:20:20:614] 1448
[12:20:22:182] 1450
[12:20:23:756] 1455
[12:20:25:331] 1456
[12:20:26:897] 1446
[12:20:28:456] 1441
[12:20:30:18] 1445
[12:20:31:584] 1449
[12:20:33:160] 1458
[12:20:34:735] 1456
[12:20:36:304] 1449
[12:20:37:867] 1445
[12:20:39:422] 1438
[12:20:40:988] 1449
[12:20:42:555] 1448
[12:20:44:129] 1457
[12:20:45:722] 1474
[12:20:47:279] 1438
[12:20:48:849] 1454
[12:20:50:412] 1446
[12:20:51:983] 1454
[12:20:53:556] 1456
[12:20:55:122] 1447
[12:20:56:702] 1464
[12:20:58:262] 1442
[12:20:59:832] 1453
[12:21:1:400] 1452
[12:21:2:965] 1448
[12:21:4:528] 1446
[12:21:6:100] 1456
[12:21:7:664] 1445
[12:21:9:244] 1461
[12:21:10:857] 1492
[12:21:12:508] 1534
[12:21:14:281] 1650
[12:21:16:186] 1777
[12:21:17:781] 1478
[12:21:19:355] 1457
[12:21:20:922] 1450
[12:21:22:601] 1561
[12:21:24:160] 1440
[12:21:25:730] 1451
[12:21:27:280] 1432
[12:21:28:836] 1437
[12:21:30:390] 1433
[12:21:31:945] 1436
[12:21:33:507] 1442
[12:21:35:66] 1440
[12:21:36:621] 1435
[12:21:38:174] 1434
[12:21:39:728] 1434
[12:21:41:281] 1434
[12:21:42:841] 1441
[12:21:44:397] 1435
[12:21:45:959] 1442
[12:21:47:517] 1438
[12:21:49:70] 1432
[12:21:50:628] 1437
[12:21:52:184] 1436
[12:21:53:737] 1434
[12:21:55:291] 1435
[12:21:56:848] 1437
[12:21:58:402] 1435
[12:21:59:981] 1460
[12:22:1:533] 1433
[12:22:3:89] 1436
[12:22:4:644] 1436
[12:22:6:199] 1436
[12:22:7:753] 1435
[12:22:9:310] 1437
[12:22:10:867] 1437
[12:22:12:423] 1438
[12:22:13:981] 1439
[12:22:15:644] 1543
[12:22:17:437] 1677
[12:22:19:91] 1534
[12:22:20:649] 1439
[12:22:22:204] 1436
[12:22:23:762] 1438
[12:22:25:315] 1434
[12:22:26:883] 1450
[12:22:28:440] 1438
[12:22:29:999] 1440
[12:22:31:560] 1441
[12:22:33:115] 1436
[12:22:34:673] 1439
[12:22:36:229] 1436
[12:22:37:823] 1475
[12:22:39:591] 1640
[12:22:41:152] 1438
[12:22:42:709] 1436
[12:22:44:268] 1439
[12:22:45:828] 1440
[12:22:47:384] 1437
[12:22:48:939] 1436
[12:22:50:499] 1440
[12:22:52:53] 1435
[12:22:53:611] 1439
[12:22:55:170] 1439
[12:22:56:736] 1446
[12:22:58:292] 1439
[12:22:59:852] 1440
[12:23:1:411] 1440
[12:23:2:964] 1434
[12:23:4:515] 1432
[12:23:6:69] 1434
[12:23:7:641] 1454
[12:23:9:196] 1435
[12:23:10:754] 1438
[12:23:12:310] 1435
[12:23:13:863] 1434
[12:23:15:418] 1435
[12:23:16:972] 1436
[12:23:18:645] 1553
[12:23:20:343] 1578
[12:23:21:914] 1453
[12:23:23:467] 1434
[12:23:25:25] 1439
[12:23:26:587] 1443
[12:23:28:145] 1438
[12:23:29:702] 1438
[12:23:31:260] 1439
[12:23:32:814] 1435
[12:23:34:375] 1441
[12:23:35:932] 1437
[12:23:37:499] 1447
[12:23:39:56] 1439
[12:23:40:618] 1442
[12:23:42:173] 1436
[12:23:43:728] 1436
[12:23:45:283] 1436
[12:23:46:850] 1446
[12:23:48:407] 1438
[12:23:49:964] 1437
[12:23:51:526] 1443
[12:23:53:80] 1435
[12:23:54:637] 1438
[12:23:56:496] 1735
[12:23:58:93] 1470
[12:23:59:668] 1456
[12:24:1:239] 1455
[12:24:2:807] 1451
[12:24:4:366] 1439
[12:24:5:930] 1447
[12:24:7:506] 1458
[12:24:9:70] 1447
[12:24:10:640] 1452
[12:24:12:208] 1450
[12:24:13:782] 1456
[12:24:15:351] 1452
[12:24:16:912] 1444
[12:24:18:485] 1456
[12:24:20:130] 1528
[12:24:21:814] 1568
[12:24:23:450] 1502
[12:24:25:8] 1438
[12:24:26:573] 1446
[12:24:28:151] 1462
[12:24:29:711] 1443
[12:24:31:277] 1449
[12:24:32:835] 1441
[12:24:34:397] 1443
[12:24:35:954] 1441
[12:24:37:516] 1444
[12:24:39:83] 1450
[12:24:40:643] 1442
[12:24:42:208] 1448
[12:24:43:763] 1438
[12:24:45:324] 1444
[12:24:46:892] 1449
[12:24:48:465] 1455
[12:24:50:29] 1448
[12:24:51:596] 1450
[12:24:53:160] 1446
[12:24:54:732] 1453
[12:24:56:308] 1457
[12:24:57:868] 1439
[12:24:59:432] 1448
[12:25:0:999] 1450
[12:25:2:569] 1453
[12:25:4:140] 1453
[12:25:5:710] 1452
[12:25:7:286] 1458
[12:25:8:859] 1454
[12:25:10:432] 1453
[12:25:11:993] 1442
[12:25:13:575] 1465
[12:25:15:355] 1663
[12:25:16:921] 1446
[12:25:18:497] 1459
[12:25:20:61] 1446
[12:25:21:633] 1453
[12:25:23:315] 1564
[12:25:25:5] 1574
[12:25:26:576] 1453
[12:25:28:163] 1469
[12:25:29:734] 1452
[12:25:31:302] 1451
[12:25:32:872] 1454
[12:25:34:439] 1451
[12:25:36:10] 1452
[12:25:37:577] 1450
[12:25:39:147] 1453
[12:25:40:720] 1456
[12:25:42:285] 1446
[12:25:43:851] 1449
[12:25:45:425] 1457
[12:25:46:991] 1448
[12:25:48:553] 1442
[12:25:50:121] 1448
[12:25:51:690] 1450
[12:25:53:249] 1441
[12:25:54:815] 1450
[12:25:56:386] 1455
[12:25:57:948] 1445
[12:25:59:516] 1451
[12:26:1:84] 1451
[12:26:2:652] 1451
[12:26:4:218] 1448
[12:26:5:789] 1450
[12:26:7:354] 1448
[12:26:8:924] 1451
[12:26:10:496] 1456
[12:26:12:61] 1444
[12:26:13:629] 1451
[12:26:15:199] 1450
[12:26:16:768] 1450
[12:26:18:347] 1461
[12:26:19:990] 1523
[12:26:21:580] 1471
[12:26:23:179] 1482
[12:26:25:32] 1735
[12:26:27:24] 1851
[12:26:28:683] 1519
[12:26:30:262] 1462
[12:26:31:945] 1567
[12:26:33:504] 1439
[12:26:35:55] 1433
[12:26:36:609] 1435
[12:26:38:164] 1435
[12:26:39:717] 1434
[12:26:41:278] 1440
[12:26:42:830] 1433
[12:26:44:397] 1446
[12:26:45:949] 1432
[12:26:47:502] 1433
[12:26:49:56] 1434
[12:26:50:613] 1437
[12:26:52:172] 1440
[12:26:53:723] 1431
[12:26:55:282] 1439
[12:26:56:835] 1435
[12:26:58:391] 1438
[12:26:59:942] 1432
[12:27:1:503] 1442
[12:27:3:54] 1431
[12:27:4:609] 1436
[12:27:6:164] 1436
[12:27:7:718] 1435
[12:27:9:272] 1434
[12:27:10:823] 1433
[12:27:12:378] 1436
[12:27:13:932] 1435
[12:27:15:492] 1439
[12:27:17:49] 1437
[12:27:18:611] 1442
[12:27:20:164] 1434
[12:27:21:742] 1459
[12:27:23:295] 1434
[12:27:24:857] 1443
[12:27:26:410] 1433
[12:27:28:99] 1571
[12:27:29:798] 1580
[12:27:31:357] 1439
[12:27:32:913] 1437
[12:27:34:468] 1436
[12:27:36:16] 1429
[12:27:37:574] 1439
[12:27:39:137] 1444
[12:27:40:690] 1434
[12:27:42:244] 1434
