[23:28:23:455] 125
[23:28:23:471] 15
[23:28:23:481] 9
[23:28:23:489] 8
[23:28:23:499] 9
[23:28:23:507] 8
[23:28:23:516] 8
[23:28:23:526] 9
[23:28:23:534] 8
[23:28:23:543] 8
[23:28:23:762] 14
[23:28:23:772] 9
[23:28:23:781] 9
[23:28:23:790] 9
[23:28:23:799] 8
[23:28:23:809] 9
[23:28:23:818] 8
[23:28:23:827] 9
[23:28:23:836] 9
[23:28:23:845] 8
[23:28:24:19] 15
[23:28:24:30] 10
[23:28:24:38] 8
[23:28:24:47] 8
[23:28:24:57] 9
[23:28:24:65] 8
[23:28:24:74] 8
[23:28:24:84] 9
[23:28:24:92] 8
[23:28:24:101] 8
[23:28:24:274] 15
[23:28:24:284] 9
[23:28:24:293] 9
[23:28:24:301] 8
[23:28:24:311] 9
[23:28:24:320] 9
[23:28:24:329] 8
[23:28:24:338] 8
[23:28:24:348] 9
[23:28:24:356] 8
[23:28:24:530] 15
[23:28:24:541] 11
[23:28:24:550] 8
[23:28:24:559] 8
[23:28:24:567] 8
[23:28:24:576] 8
[23:28:24:585] 8
[23:28:24:595] 10
[23:28:24:604] 9
[23:28:24:613] 8
[23:28:24:786] 15
[23:28:24:795] 9
[23:28:24:803] 7
[23:28:24:813] 9
[23:28:24:821] 8
[23:28:24:831] 10
[23:28:24:840] 9
[23:28:24:849] 8
[23:28:24:858] 8
[23:28:24:867] 8
[23:28:25:41] 15
[23:28:25:51] 9
[23:28:25:60] 8
[23:28:25:70] 9
[23:28:25:79] 9
[23:28:25:89] 9
[23:28:25:97] 8
[23:28:25:106] 8
[23:28:25:115] 9
[23:28:25:123] 8
[23:28:25:297] 15
[23:28:25:305] 8
[23:28:25:314] 8
[23:28:25:323] 8
[23:28:25:332] 8
[23:28:25:341] 8
[23:28:25:351] 10
[23:28:25:360] 8
[23:28:25:368] 8
[23:28:25:376] 8
[23:28:25:554] 15
[23:28:25:564] 9
[23:28:25:572] 8
[23:28:25:581] 9
[23:28:25:590] 9
[23:28:25:598] 8
[23:28:25:608] 9
[23:28:25:617] 8
[23:28:25:626] 8
[23:28:25:635] 8
[23:28:25:800] 14
[23:28:25:810] 9
[23:28:25:819] 8
[23:28:25:827] 7
[23:28:25:836] 8
[23:28:25:846] 9
[23:28:25:854] 8
[23:28:25:863] 8
[23:28:25:872] 8
[23:28:25:881] 8
[23:28:26:55] 15
[23:28:26:64] 9
[23:28:26:72] 8
[23:28:26:81] 8
[23:28:26:90] 8
[23:28:26:98] 7
[23:28:26:107] 8
[23:28:26:116] 8
[23:28:26:125] 8
[23:28:26:134] 8
[23:28:26:310] 14
[23:28:26:320] 9
[23:28:26:328] 8
[23:28:26:338] 9
[23:28:26:349] 11
[23:28:26:358] 8
[23:28:26:368] 9
[23:28:26:376] 8
[23:28:26:385] 8
[23:28:26:396] 11
[23:28:26:562] 11
[23:28:26:572] 9
[23:28:26:581] 9
[23:28:26:590] 8
[23:28:26:599] 8
[23:28:26:609] 10
[23:28:26:617] 7
[23:28:26:626] 8
[23:28:26:636] 9
[23:28:26:644] 7
[23:28:26:821] 14
[23:28:26:831] 9
[23:28:26:840] 9
[23:28:26:848] 7
[23:28:26:858] 9
[23:28:26:867] 9
[23:28:26:875] 7
[23:28:26:884] 8
[23:28:26:894] 9
[23:28:26:903] 9
[23:28:27:79] 14
[23:28:27:88] 9
[23:28:27:96] 7
[23:28:27:105] 8
[23:28:27:114] 8
[23:28:27:123] 8
[23:28:27:132] 8
[23:28:27:141] 9
[23:28:27:151] 9
[23:28:27:160] 8
[23:28:27:334] 14
[23:28:27:344] 9
[23:28:27:353] 8
[23:28:27:362] 8
[23:28:27:371] 8
[23:28:27:380] 9
[23:28:27:389] 9
[23:28:27:398] 8
[23:28:27:406] 8
[23:28:27:417] 10
[23:28:27:590] 14
[23:28:27:600] 9
[23:28:27:610] 8
[23:28:27:620] 9
[23:28:27:630] 9
[23:28:27:641] 11
[23:28:27:651] 9
[23:28:27:660] 9
[23:28:27:670] 9
[23:28:27:679] 9
[23:28:27:894] 30
[23:28:27:916] 22
[23:28:27:937] 21
[23:28:27:959] 22
[23:28:27:979] 20
