[0:17:11:401] 48
[0:17:11:409] 8
[0:17:11:417] 8
[0:17:11:424] 7
[0:17:11:433] 8
[0:17:11:442] 8
[0:17:11:450] 7
[0:17:11:458] 8
[0:17:11:471] 12
[0:17:11:480] 9
[0:17:11:590] 9
[0:17:11:599] 9
[0:17:11:607] 7
[0:17:11:614] 7
[0:17:11:622] 7
[0:17:11:630] 7
[0:17:11:639] 8
[0:17:11:647] 8
[0:17:11:655] 7
[0:17:11:664] 8
[0:17:11:775] 10
[0:17:11:785] 9
[0:17:11:793] 8
[0:17:11:802] 8
[0:17:11:811] 8
[0:17:11:820] 8
[0:17:11:828] 7
[0:17:11:838] 9
[0:17:11:847] 8
[0:17:11:855] 8
[0:17:11:967] 11
[0:17:11:977] 9
[0:17:11:986] 9
[0:17:11:994] 7
[0:17:12:2] 8
[0:17:12:12] 9
[0:17:12:20] 8
[0:17:12:30] 9
[0:17:12:40] 9
[0:17:12:49] 8
[0:17:12:160] 10
[0:17:12:170] 10
[0:17:12:179] 8
[0:17:12:188] 9
[0:17:12:197] 9
[0:17:12:206] 8
[0:17:12:215] 8
[0:17:12:224] 8
[0:17:12:232] 7
[0:17:12:241] 8
[0:17:12:352] 10
[0:17:12:362] 9
[0:17:12:370] 8
[0:17:12:379] 8
[0:17:12:388] 8
[0:17:12:397] 8
[0:17:12:406] 8
[0:17:12:414] 8
[0:17:12:424] 9
[0:17:12:433] 9
[0:17:12:544] 10
[0:17:12:554] 9
[0:17:12:565] 10
[0:17:12:573] 8
[0:17:12:581] 8
[0:17:12:589] 8
[0:17:12:597] 7
[0:17:12:605] 8
[0:17:12:614] 8
[0:17:12:623] 8
[0:17:12:734] 10
[0:17:12:743] 9
[0:17:12:752] 9
[0:17:12:760] 7
[0:17:12:769] 8
[0:17:12:778] 8
[0:17:12:787] 8
[0:17:12:796] 8
[0:17:12:805] 9
[0:17:12:815] 9
[0:17:12:925] 10
[0:17:12:933] 7
[0:17:12:943] 9
[0:17:12:953] 9
[0:17:12:961] 8
[0:17:12:970] 8
[0:17:12:979] 8
[0:17:12:989] 9
[0:17:12:997] 8
